feature,shap_value,feature_value,importance,effect
aqi_rolling_24,-153.27385274225236,177.41666666666666,153.27385274225236,Decreases AQI
aqi_rolling_6,16.242814421916805,176.0,16.242814421916805,Increases AQI
aqi_rolling_48,-9.307564748155302,177.25,9.307564748155302,Decreases AQI
aqi_index,6.082230418887617,184.0,6.082230418887617,Increases AQI
aqi_rolling_12,6.061788343607875,177.0,6.061788343607875,Increases AQI
