timestamp,fire_count,fire_frp_sum,fire_brightness_sum
2025-02-19 03:00:00,5,7.0,1488.07
2025-02-19 12:00:00,25,209.14000000000001,8455.34
2025-02-20 01:00:00,1,0.95,295.26
2025-02-20 03:00:00,1,1.03,295.97
2025-02-20 12:00:00,1,2.31,326.49
2025-02-20 14:00:00,2,9.59,670.6500000000001
2025-02-21 02:00:00,12,17.19,3643.11
2025-02-21 13:00:00,12,89.6,4040.59
2025-02-22 02:00:00,12,13.48,3665.44
2025-02-22 13:00:00,13,65.50999999999999,4326.36
2025-02-23 02:00:00,17,21.66,5142.32
2025-02-23 13:00:00,76,231.64000000000001,25225.72
2025-02-24 01:00:00,13,11.9,3908.12
2025-02-24 13:00:00,39,156.49,12997.61
2025-02-25 01:00:00,16,15.58,4897.87
2025-02-25 12:00:00,15,42.7,5016.6
2025-02-25 14:00:00,3,10.08,992.73
2025-02-26 12:00:00,2,8.18,657.22
2025-02-26 14:00:00,10,46.03,3370.08
2025-02-28 13:00:00,22,242.54,7629.58
2025-03-01 01:00:00,6,6.39,1834.54
2025-03-01 13:00:00,3,7.84,1003.7
2025-03-02 01:00:00,6,6.069999999999999,1816.21
2025-03-02 03:00:00,3,2.21,904.8000000000001
2025-03-02 12:00:00,13,33.35,4367.29
2025-03-02 14:00:00,3,7.67,991.0899999999999
2025-03-03 01:00:00,3,2.32,890.03
2025-03-03 02:00:00,11,8.81,3294.9300000000003
2025-03-03 12:00:00,3,15.36,997.53
2025-03-03 14:00:00,14,44.08,4672.27
2025-03-04 02:00:00,6,7.47,1835.14
2025-03-04 13:00:00,39,217.82999999999998,13070.460000000001
2025-03-05 02:00:00,23,15.94,6927.19
2025-03-05 13:00:00,86,479.56,28794.9
2025-03-06 01:00:00,17,15.39,5157.139999999999
2025-03-06 13:00:00,70,410.81,23418.52
2025-03-07 01:00:00,19,12.02,5681.03
2025-03-07 03:00:00,1,1.08,297.74
2025-03-07 12:00:00,38,193.55,12706.19
2025-03-07 14:00:00,6,37.25,2023.79
2025-03-08 01:00:00,11,8.45,3317.96
2025-03-08 02:00:00,5,4.96,1518.51
2025-03-08 03:00:00,1,0.73,300.06
2025-03-08 12:00:00,21,123.67,7116.02
2025-03-08 14:00:00,31,159.18,10466.82
2025-03-09 01:00:00,2,3.01,607.75
2025-03-09 02:00:00,12,8.68,3598.33
2025-03-09 13:00:00,15,66.62,5026.03
2025-03-10 02:00:00,2,2.02,603.9
2025-03-10 13:00:00,53,191.46,17666.58
2025-03-11 02:00:00,14,10.379999999999999,4239.56
2025-03-11 13:00:00,13,37.82,4303.68
2025-03-12 01:00:00,12,12.55,3681.2200000000003
2025-03-12 13:00:00,29,125.39,9729.55
2025-03-13 01:00:00,6,5.43,1814.5700000000002
2025-03-13 03:00:00,4,2.33,1202.67
2025-03-13 12:00:00,25,274.44,8328.85
2025-03-13 14:00:00,10,144.19,3520.45
2025-03-14 02:00:00,7,7.53,2127.09
2025-03-14 12:00:00,1,5.43,332.6
2025-03-14 14:00:00,12,50.04,4023.2
2025-03-15 02:00:00,4,3.0,1212.48
2025-03-15 13:00:00,3,10.96,996.98
2025-03-16 02:00:00,18,12.76,5464.06
2025-03-16 13:00:00,45,230.41,15066.07
2025-03-17 01:00:00,17,12.719999999999999,5119.26
2025-03-17 13:00:00,28,108.13,9371.56
2025-03-18 01:00:00,6,4.34,1796.75
2025-03-18 03:00:00,2,3.23,605.1500000000001
2025-03-18 12:00:00,22,77.72,7405.66
2025-03-18 14:00:00,10,40.81,3323.68
2025-03-19 01:00:00,3,3.16,894.15
2025-03-19 02:00:00,7,6.2,2094.22
2025-03-19 12:00:00,2,9.120000000000001,653.29
2025-03-19 14:00:00,32,139.39,10874.06
2025-03-20 02:00:00,26,42.69,8029.66
2025-03-20 13:00:00,51,305.75,17230.26
2025-03-21 02:00:00,34,24.5,10336.42
2025-03-21 13:00:00,68,303.22,23028.3
2025-03-22 01:00:00,12,8.57,3619.98
2025-03-22 13:00:00,38,178.82999999999998,12745.03
2025-03-23 01:00:00,14,14.68,4246.02
2025-03-23 03:00:00,4,6.21,1211.51
2025-03-23 12:00:00,44,271.03000000000003,14920.73
2025-03-23 14:00:00,3,25.62,1034.92
2025-03-24 01:00:00,6,5.85,1804.49
2025-03-24 02:00:00,10,9.05,3000.63
2025-03-24 12:00:00,21,77.42,7015.94
2025-03-24 14:00:00,18,74.36,6056.13
2025-03-25 02:00:00,6,5.82,1804.16
2025-03-25 13:00:00,15,72.15,5060.84
2025-03-26 02:00:00,11,12.61,3383.6
2025-03-26 13:00:00,28,109.79,9446.15
2025-03-27 02:00:00,19,17.48,5785.51
2025-03-27 13:00:00,42,225.68,14164.07
2025-03-28 01:00:00,12,10.92,3641.74
2025-03-28 13:00:00,34,149.75,11458.8
2025-03-28 14:00:00,1,5.67,334.27
2025-03-29 01:00:00,17,14.379999999999999,5131.3
2025-03-29 03:00:00,7,41.62,2250.65
2025-03-29 12:00:00,20,107.48,6809.59
2025-03-29 14:00:00,12,104.27,4086.33
2025-03-30 01:00:00,1,0.67,295.29
2025-03-30 02:00:00,25,37.78,7637.09
2025-03-30 12:00:00,8,76.49,2717.84
2025-03-30 14:00:00,60,308.06,20584.24
2025-03-31 02:00:00,16,17.07,4824.6
2025-03-31 13:00:00,48,380.54,16287.06
2025-04-01 02:00:00,30,32.89,9186.98
2025-04-01 13:00:00,50,224.65,16987.78
2025-04-02 01:00:00,37,232.0,11381.99
2025-04-02 13:00:00,47,364.89,15907.47
2025-04-03 01:00:00,31,52.05,9504.16
2025-04-03 03:00:00,11,21.01,3337.75
2025-04-03 12:00:00,20,95.72,6767.57
2025-04-03 14:00:00,2,19.45,667.72
2025-04-04 01:00:00,21,32.05,6383.76
2025-04-04 02:00:00,22,18.97,6658.6
2025-04-04 12:00:00,16,92.52,5420.66
2025-04-04 14:00:00,40,206.45,13626.2
2025-04-05 02:00:00,37,41.87,11256.95
2025-04-05 13:00:00,40,253.66,13643.18
2025-04-06 02:00:00,40,40.88,12222.62
2025-04-06 13:00:00,49,231.98999999999998,16586.16
2025-04-07 01:00:00,38,48.92,11713.06
2025-04-07 13:00:00,52,432.77000000000004,17727.21
2025-04-08 01:00:00,24,29.47,7321.74
2025-04-08 12:00:00,20,96.99,6757.66
2025-04-09 01:00:00,2,2.71,610.5899999999999
2025-04-09 02:00:00,3,9.850000000000001,952.23
2025-04-09 12:00:00,5,13.88,1661.15
2025-04-09 14:00:00,4,16.39,1353.38
2025-04-10 02:00:00,1,0.9,301.44
2025-04-10 13:00:00,11,66.95,3742.29
2025-04-11 02:00:00,19,22.060000000000002,5809.4400000000005
2025-04-11 13:00:00,15,64.76,5084.67
2025-04-12 02:00:00,13,12.600000000000001,3987.88
2025-04-12 13:00:00,16,64.01,5406.43
2025-04-13 01:00:00,8,7.41,2443.45
2025-04-13 13:00:00,34,142.17,11471.15
2025-04-14 01:00:00,5,2.9299999999999997,1526.21
2025-04-14 03:00:00,1,1.16,305.78
2025-04-14 12:00:00,15,66.88,5109.92
2025-04-14 14:00:00,9,62.5,3099.9700000000003
2025-04-15 01:00:00,13,152.17000000000002,4168.57
2025-04-15 02:00:00,16,173.54,4988.95
2025-04-15 14:00:00,29,207.48999999999998,9802.54
2025-04-16 02:00:00,17,63.160000000000004,5309.31
2025-04-16 13:00:00,46,355.06,15711.37
2025-04-17 02:00:00,54,246.04,17091.57
2025-04-17 13:00:00,38,174.4,12942.52
2025-04-18 01:00:00,9,15.38,2799.84
2025-04-18 13:00:00,39,166.07999999999998,13188.48
2025-04-19 01:00:00,5,12.55,1564.4099999999999
2025-04-19 03:00:00,8,26.44,2489.31
2025-04-19 12:00:00,65,396.42,22425.27
2025-04-19 14:00:00,31,331.77,10797.76
2025-04-20 01:00:00,7,16.89,2177.95
2025-04-20 02:00:00,4,4.35,1234.69
2025-04-20 12:00:00,19,189.54000000000002,6532.7
2025-04-20 14:00:00,84,1010.47,28822.36
2025-04-21 02:00:00,12,33.89,3729.45
